Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,"C1, C2, C3, C4, C5, C6, C7, C8, C10, C11, C17",C_0402_1005Metric,11,0.1uF,Aliexpress
2,"C9, C12",C_0402_1005Metric,2,1uF,Aliexpress
3,"C13, C14",C_0603_1608Metric,2,10uF,Aliexpress
4,"C15, C16",C_0402_1005Metric,2,15pF,Aliexpress
5,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,Aliexpress
6,"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,Aliexpress
7,J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,Aliexpress
8,"R1, R2",R_0402_1005Metric,2,5.1K,Aliexpress
9,"R3, R4",R_0402_1005Metric,2,27K,Aliexpress
10,"R5, R6",R_0402_1005Metric,2,1K,Aliexpress
11,R7,R_0402_1005Metric,1,10K,Aliexpress
12,SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,Aliexpress
13,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,Aliexpress
14,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q128JVS,Aliexpress
15,U4,SOT-23,1,MCP1700x-330xxTT,Aliexpress
16,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,Aliexpress
17,-,Solder Iron,1,Pinecil V1,Aliexpress
18,-,Flux Paste,1,Flux Paste,Aliexpress
19,-,Brass Sponge,1,to Clean,Aliexpress
20,-,Solder Wire,1,wire,Aliexpress
21,-,PCB,1,PCB,pcbway